,tokenized_sentences,len,word_tokens,lower,no_punc,stopwords_removed,pos_tags
25,"He hid fire; but that the noble son of Iapetus stole again for men
from Zeus the counsellor in a hollow fennel-stalk, so that Zeus who
delights in thunder did not see it.",170,"['He', 'hid', 'fire', ';', 'but', 'that', 'the', 'noble', 'son', 'of', 'Iapetus', 'stole', 'again', 'for', 'men', 'from', 'Zeus', 'the', 'counsellor', 'in', 'a', 'hollow', 'fennel-stalk', ',', 'so', 'that', 'Zeus', 'who', 'delights', 'in', 'thunder', 'did', 'not', 'see', 'it', '.']","['he', 'hid', 'fire', ';', 'but', 'that', 'the', 'noble', 'son', 'of', 'iapetus', 'stole', 'again', 'for', 'men', 'from', 'zeus', 'the', 'counsellor', 'in', 'a', 'hollow', 'fennel-stalk', ',', 'so', 'that', 'zeus', 'who', 'delights', 'in', 'thunder', 'did', 'not', 'see', 'it', '.']","['he', 'hid', 'fire', 'but', 'that', 'the', 'noble', 'son', 'of', 'iapetus', 'stole', 'again', 'for', 'men', 'from', 'zeus', 'the', 'counsellor', 'in', 'a', 'hollow', 'fennel-stalk', 'so', 'that', 'zeus', 'who', 'delights', 'in', 'thunder', 'did', 'not', 'see', 'it']","['hid', 'fire', 'noble', 'son', 'iapetus', 'stole', 'men', 'zeus', 'counsellor', 'hollow', 'fennel-stalk', 'zeus', 'delights', 'thunder', 'see']","[('hid', 'NN'), ('fire', 'NN'), ('noble', 'JJ'), ('son', 'NN'), ('iapetus', 'NN'), ('stole', 'JJ'), ('men', 'NNS'), ('zeus', 'VBP'), ('counsellor', 'NN'), ('hollow', 'JJ'), ('fennel-stalk', 'JJ'), ('zeus', 'NN'), ('delights', 'NNS'), ('thunder', 'NN'), ('see', 'VBP')]"
26,"But afterwards Zeus who gathers the
clouds said to him in anger:

(ll.",70,"['But', 'afterwards', 'Zeus', 'who', 'gathers', 'the', 'clouds', 'said', 'to', 'him', 'in', 'anger', ':', '(', 'll', '.']","['but', 'afterwards', 'zeus', 'who', 'gathers', 'the', 'clouds', 'said', 'to', 'him', 'in', 'anger', ':', '(', 'll', '.']","['but', 'afterwards', 'zeus', 'who', 'gathers', 'the', 'clouds', 'said', 'to', 'him', 'in', 'anger', 'll']","['afterwards', 'zeus', 'gathers', 'clouds', 'said', 'anger']","[('afterwards', 'NNS'), ('zeus', 'NN'), ('gathers', 'NNS'), ('clouds', 'NNS'), ('said', 'VBD'), ('anger', 'NN')]"
27,"54-59) ‘Son of Iapetus, surpassing all in cunning, you are glad
that you have outwitted me and stolen fire—a great plague to you
yourself and to men that shall be.",163,"['54-59', ')', '‘', 'Son', 'of', 'Iapetus', ',', 'surpassing', 'all', 'in', 'cunning', ',', 'you', 'are', 'glad', 'that', 'you', 'have', 'outwitted', 'me', 'and', 'stolen', 'fire—a', 'great', 'plague', 'to', 'you', 'yourself', 'and', 'to', 'men', 'that', 'shall', 'be', '.']","['54-59', ')', '‘', 'son', 'of', 'iapetus', ',', 'surpassing', 'all', 'in', 'cunning', ',', 'you', 'are', 'glad', 'that', 'you', 'have', 'outwitted', 'me', 'and', 'stolen', 'fire—a', 'great', 'plague', 'to', 'you', 'yourself', 'and', 'to', 'men', 'that', 'shall', 'be', '.']","['54-59', '‘', 'son', 'of', 'iapetus', 'surpassing', 'all', 'in', 'cunning', 'you', 'are', 'glad', 'that', 'you', 'have', 'outwitted', 'me', 'and', 'stolen', 'fire—a', 'great', 'plague', 'to', 'you', 'yourself', 'and', 'to', 'men', 'that', 'shall', 'be']","['54-59', '‘', 'son', 'iapetus', 'surpassing', 'cunning', 'glad', 'outwitted', 'stolen', 'fire—a', 'great', 'plague', 'men', 'shall']","[('54-59', 'JJ'), ('‘', 'NNP'), ('son', 'NN'), ('iapetus', 'NN'), ('surpassing', 'VBG'), ('cunning', 'VBG'), ('glad', 'JJ'), ('outwitted', 'VBN'), ('stolen', 'JJ'), ('fire—a', 'NN'), ('great', 'JJ'), ('plague', 'NN'), ('men', 'NNS'), ('shall', 'MD')]"
28,"But I will give men as the price for
fire an evil thing in which they may all be glad of heart while they
embrace their own destruction.’

(ll.",143,"['But', 'I', 'will', 'give', 'men', 'as', 'the', 'price', 'for', 'fire', 'an', 'evil', 'thing', 'in', 'which', 'they', 'may', 'all', 'be', 'glad', 'of', 'heart', 'while', 'they', 'embrace', 'their', 'own', 'destruction.', '’', '(', 'll', '.']","['but', 'i', 'will', 'give', 'men', 'as', 'the', 'price', 'for', 'fire', 'an', 'evil', 'thing', 'in', 'which', 'they', 'may', 'all', 'be', 'glad', 'of', 'heart', 'while', 'they', 'embrace', 'their', 'own', 'destruction.', '’', '(', 'll', '.']","['but', 'i', 'will', 'give', 'men', 'as', 'the', 'price', 'for', 'fire', 'an', 'evil', 'thing', 'in', 'which', 'they', 'may', 'all', 'be', 'glad', 'of', 'heart', 'while', 'they', 'embrace', 'their', 'own', 'destruction.', '’', 'll']","['give', 'men', 'price', 'fire', 'evil', 'thing', 'may', 'glad', 'heart', 'embrace', 'destruction.', '’']","[('give', 'VB'), ('men', 'NNS'), ('price', 'NN'), ('fire', 'NN'), ('evil', 'JJ'), ('thing', 'NN'), ('may', 'MD'), ('glad', 'VB'), ('heart', 'NN'), ('embrace', 'NN'), ('destruction.', 'NN'), ('’', 'NN')]"
29,"60-68) So said the father of men and gods, and laughed aloud.",61,"['60-68', ')', 'So', 'said', 'the', 'father', 'of', 'men', 'and', 'gods', ',', 'and', 'laughed', 'aloud', '.']","['60-68', ')', 'so', 'said', 'the', 'father', 'of', 'men', 'and', 'gods', ',', 'and', 'laughed', 'aloud', '.']","['60-68', 'so', 'said', 'the', 'father', 'of', 'men', 'and', 'gods', 'and', 'laughed', 'aloud']","['60-68', 'said', 'father', 'men', 'gods', 'laughed', 'aloud']","[('60-68', 'NN'), ('said', 'VBD'), ('father', 'JJR'), ('men', 'NNS'), ('gods', 'NNS'), ('laughed', 'VBD'), ('aloud', 'NN')]"
30,"And
he bade famous Hephaestus make haste and mix earth with water and to
put in it the voice and strength of human kind, and fashion a sweet,
lovely maiden-shape, like to the immortal goddesses in face; and Athene
to teach her needlework and the weaving of the varied web; and golden
Aphrodite to shed grace upon her head and cruel longing and cares that
weary the limbs.",371,"['And', 'he', 'bade', 'famous', 'Hephaestus', 'make', 'haste', 'and', 'mix', 'earth', 'with', 'water', 'and', 'to', 'put', 'in', 'it', 'the', 'voice', 'and', 'strength', 'of', 'human', 'kind', ',', 'and', 'fashion', 'a', 'sweet', ',', 'lovely', 'maiden-shape', ',', 'like', 'to', 'the', 'immortal', 'goddesses', 'in', 'face', ';', 'and', 'Athene', 'to', 'teach', 'her', 'needlework', 'and', 'the', 'weaving', 'of', 'the', 'varied', 'web', ';', 'and', 'golden', 'Aphrodite', 'to', 'shed', 'grace', 'upon', 'her', 'head', 'and', 'cruel', 'longing', 'and', 'cares', 'that', 'weary', 'the', 'limbs', '.']","['and', 'he', 'bade', 'famous', 'hephaestus', 'make', 'haste', 'and', 'mix', 'earth', 'with', 'water', 'and', 'to', 'put', 'in', 'it', 'the', 'voice', 'and', 'strength', 'of', 'human', 'kind', ',', 'and', 'fashion', 'a', 'sweet', ',', 'lovely', 'maiden-shape', ',', 'like', 'to', 'the', 'immortal', 'goddesses', 'in', 'face', ';', 'and', 'athene', 'to', 'teach', 'her', 'needlework', 'and', 'the', 'weaving', 'of', 'the', 'varied', 'web', ';', 'and', 'golden', 'aphrodite', 'to', 'shed', 'grace', 'upon', 'her', 'head', 'and', 'cruel', 'longing', 'and', 'cares', 'that', 'weary', 'the', 'limbs', '.']","['and', 'he', 'bade', 'famous', 'hephaestus', 'make', 'haste', 'and', 'mix', 'earth', 'with', 'water', 'and', 'to', 'put', 'in', 'it', 'the', 'voice', 'and', 'strength', 'of', 'human', 'kind', 'and', 'fashion', 'a', 'sweet', 'lovely', 'maiden-shape', 'like', 'to', 'the', 'immortal', 'goddesses', 'in', 'face', 'and', 'athene', 'to', 'teach', 'her', 'needlework', 'and', 'the', 'weaving', 'of', 'the', 'varied', 'web', 'and', 'golden', 'aphrodite', 'to', 'shed', 'grace', 'upon', 'her', 'head', 'and', 'cruel', 'longing', 'and', 'cares', 'that', 'weary', 'the', 'limbs']","['bade', 'famous', 'hephaestus', 'make', 'haste', 'mix', 'earth', 'water', 'put', 'voice', 'strength', 'human', 'kind', 'fashion', 'sweet', 'lovely', 'maiden-shape', 'like', 'immortal', 'goddesses', 'face', 'athene', 'teach', 'needlework', 'weaving', 'varied', 'web', 'golden', 'aphrodite', 'shed', 'grace', 'upon', 'head', 'cruel', 'longing', 'cares', 'weary', 'limbs']","[('bade', 'RB'), ('famous', 'JJ'), ('hephaestus', 'NNS'), ('make', 'VBP'), ('haste', 'NN'), ('mix', 'NN'), ('earth', 'NN'), ('water', 'NN'), ('put', 'VBD'), ('voice', 'NN'), ('strength', 'NN'), ('human', 'JJ'), ('kind', 'NN'), ('fashion', 'NN'), ('sweet', 'NN'), ('lovely', 'RB'), ('maiden-shape', 'NN'), ('like', 'IN'), ('immortal', 'JJ'), ('goddesses', 'NNS'), ('face', 'VBP'), ('athene', 'JJ'), ('teach', 'NN'), ('needlework', 'NN'), ('weaving', 'VBG'), ('varied', 'JJ'), ('web', 'NN'), ('golden', 'JJ'), ('aphrodite', 'RB'), ('shed', 'JJ'), ('grace', 'NN'), ('upon', 'IN'), ('head', 'NN'), ('cruel', 'NN'), ('longing', 'NN'), ('cares', 'NNS'), ('weary', 'JJ'), ('limbs', 'NNS')]"
31,"And he charged Hermes the guide, the Slayer of Argus,
to put in her a shameless mind and a deceitful nature.",108,"['And', 'he', 'charged', 'Hermes', 'the', 'guide', ',', 'the', 'Slayer', 'of', 'Argus', ',', 'to', 'put', 'in', 'her', 'a', 'shameless', 'mind', 'and', 'a', 'deceitful', 'nature', '.']","['and', 'he', 'charged', 'hermes', 'the', 'guide', ',', 'the', 'slayer', 'of', 'argus', ',', 'to', 'put', 'in', 'her', 'a', 'shameless', 'mind', 'and', 'a', 'deceitful', 'nature', '.']","['and', 'he', 'charged', 'hermes', 'the', 'guide', 'the', 'slayer', 'of', 'argus', 'to', 'put', 'in', 'her', 'a', 'shameless', 'mind', 'and', 'a', 'deceitful', 'nature']","['charged', 'hermes', 'guide', 'slayer', 'argus', 'put', 'shameless', 'mind', 'deceitful', 'nature']","[('charged', 'VBN'), ('hermes', 'NNS'), ('guide', 'VBP'), ('slayer', 'JJ'), ('argus', 'NN'), ('put', 'VBD'), ('shameless', 'JJ'), ('mind', 'NN'), ('deceitful', 'JJ'), ('nature', 'NN')]"
32,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
33,69-82) So he ordered.,21,"['69-82', ')', 'So', 'he', 'ordered', '.']","['69-82', ')', 'so', 'he', 'ordered', '.']","['69-82', 'so', 'he', 'ordered']","['69-82', 'ordered']","[('69-82', 'CD'), ('ordered', 'VBD')]"
34,"And they obeyed the lord Zeus the son of
Cronos.",48,"['And', 'they', 'obeyed', 'the', 'lord', 'Zeus', 'the', 'son', 'of', 'Cronos', '.']","['and', 'they', 'obeyed', 'the', 'lord', 'zeus', 'the', 'son', 'of', 'cronos', '.']","['and', 'they', 'obeyed', 'the', 'lord', 'zeus', 'the', 'son', 'of', 'cronos']","['obeyed', 'lord', 'zeus', 'son', 'cronos']","[('obeyed', 'VBN'), ('lord', 'NN'), ('zeus', 'NN'), ('son', 'NN'), ('cronos', 'NN')]"
35,"Forthwith the famous Lame God moulded clay in the likeness of a
modest maid, as the son of Cronos purposed.",107,"['Forthwith', 'the', 'famous', 'Lame', 'God', 'moulded', 'clay', 'in', 'the', 'likeness', 'of', 'a', 'modest', 'maid', ',', 'as', 'the', 'son', 'of', 'Cronos', 'purposed', '.']","['forthwith', 'the', 'famous', 'lame', 'god', 'moulded', 'clay', 'in', 'the', 'likeness', 'of', 'a', 'modest', 'maid', ',', 'as', 'the', 'son', 'of', 'cronos', 'purposed', '.']","['forthwith', 'the', 'famous', 'lame', 'god', 'moulded', 'clay', 'in', 'the', 'likeness', 'of', 'a', 'modest', 'maid', 'as', 'the', 'son', 'of', 'cronos', 'purposed']","['forthwith', 'famous', 'lame', 'god', 'moulded', 'clay', 'likeness', 'modest', 'maid', 'son', 'cronos', 'purposed']","[('forthwith', 'RB'), ('famous', 'JJ'), ('lame', 'NN'), ('god', 'NN'), ('moulded', 'VBD'), ('clay', 'NN'), ('likeness', 'NN'), ('modest', 'JJ'), ('maid', 'NN'), ('son', 'NN'), ('cronos', 'NNS'), ('purposed', 'VBD')]"
36,"And the goddess bright-eyed
Athene girded and clothed her, and the divine Graces and queenly
Persuasion put necklaces of gold upon her, and the rich-haired Hours
crowned her head with spring flowers.",199,"['And', 'the', 'goddess', 'bright-eyed', 'Athene', 'girded', 'and', 'clothed', 'her', ',', 'and', 'the', 'divine', 'Graces', 'and', 'queenly', 'Persuasion', 'put', 'necklaces', 'of', 'gold', 'upon', 'her', ',', 'and', 'the', 'rich-haired', 'Hours', 'crowned', 'her', 'head', 'with', 'spring', 'flowers', '.']","['and', 'the', 'goddess', 'bright-eyed', 'athene', 'girded', 'and', 'clothed', 'her', ',', 'and', 'the', 'divine', 'graces', 'and', 'queenly', 'persuasion', 'put', 'necklaces', 'of', 'gold', 'upon', 'her', ',', 'and', 'the', 'rich-haired', 'hours', 'crowned', 'her', 'head', 'with', 'spring', 'flowers', '.']","['and', 'the', 'goddess', 'bright-eyed', 'athene', 'girded', 'and', 'clothed', 'her', 'and', 'the', 'divine', 'graces', 'and', 'queenly', 'persuasion', 'put', 'necklaces', 'of', 'gold', 'upon', 'her', 'and', 'the', 'rich-haired', 'hours', 'crowned', 'her', 'head', 'with', 'spring', 'flowers']","['goddess', 'bright-eyed', 'athene', 'girded', 'clothed', 'divine', 'graces', 'queenly', 'persuasion', 'put', 'necklaces', 'gold', 'upon', 'rich-haired', 'hours', 'crowned', 'head', 'spring', 'flowers']","[('goddess', 'JJ'), ('bright-eyed', 'JJ'), ('athene', 'NN'), ('girded', 'VBD'), ('clothed', 'JJ'), ('divine', 'NN'), ('graces', 'NNS'), ('queenly', 'RB'), ('persuasion', 'NN'), ('put', 'VBD'), ('necklaces', 'NNS'), ('gold', 'NN'), ('upon', 'IN'), ('rich-haired', 'JJ'), ('hours', 'NNS'), ('crowned', 'VBN'), ('head', 'VBP'), ('spring', 'NN'), ('flowers', 'NNS')]"
37,"And Pallas Athene bedecked her
form with all manners of finery.",63,"['And', 'Pallas', 'Athene', 'bedecked', 'her', 'form', 'with', 'all', 'manners', 'of', 'finery', '.']","['and', 'pallas', 'athene', 'bedecked', 'her', 'form', 'with', 'all', 'manners', 'of', 'finery', '.']","['and', 'pallas', 'athene', 'bedecked', 'her', 'form', 'with', 'all', 'manners', 'of', 'finery']","['pallas', 'athene', 'bedecked', 'form', 'manners', 'finery']","[('pallas', 'NNS'), ('athene', 'VBP'), ('bedecked', 'VBN'), ('form', 'NN'), ('manners', 'NNS'), ('finery', 'VBP')]"
38,"Also the Guide, the Slayer of Argus,
contrived within her lies and crafty words and a deceitful nature at
the will of loud thundering Zeus, and the Herald of the gods put speech
in her.",185,"['Also', 'the', 'Guide', ',', 'the', 'Slayer', 'of', 'Argus', ',', 'contrived', 'within', 'her', 'lies', 'and', 'crafty', 'words', 'and', 'a', 'deceitful', 'nature', 'at', 'the', 'will', 'of', 'loud', 'thundering', 'Zeus', ',', 'and', 'the', 'Herald', 'of', 'the', 'gods', 'put', 'speech', 'in', 'her', '.']","['also', 'the', 'guide', ',', 'the', 'slayer', 'of', 'argus', ',', 'contrived', 'within', 'her', 'lies', 'and', 'crafty', 'words', 'and', 'a', 'deceitful', 'nature', 'at', 'the', 'will', 'of', 'loud', 'thundering', 'zeus', ',', 'and', 'the', 'herald', 'of', 'the', 'gods', 'put', 'speech', 'in', 'her', '.']","['also', 'the', 'guide', 'the', 'slayer', 'of', 'argus', 'contrived', 'within', 'her', 'lies', 'and', 'crafty', 'words', 'and', 'a', 'deceitful', 'nature', 'at', 'the', 'will', 'of', 'loud', 'thundering', 'zeus', 'and', 'the', 'herald', 'of', 'the', 'gods', 'put', 'speech', 'in', 'her']","['also', 'guide', 'slayer', 'argus', 'contrived', 'within', 'lies', 'crafty', 'words', 'deceitful', 'nature', 'loud', 'thundering', 'zeus', 'herald', 'gods', 'put', 'speech']","[('also', 'RB'), ('guide', 'VBP'), ('slayer', 'JJ'), ('argus', 'NN'), ('contrived', 'VBD'), ('within', 'IN'), ('lies', 'NNS'), ('crafty', 'VBP'), ('words', 'NNS'), ('deceitful', 'JJ'), ('nature', 'JJ'), ('loud', 'JJ'), ('thundering', 'VBG'), ('zeus', 'NN'), ('herald', 'NN'), ('gods', 'NNS'), ('put', 'VBD'), ('speech', 'NN')]"
39,"And he called this woman Pandora 1302, because all they who
dwelt on Olympus gave each a gift, a plague to men who eat bread.",125,"['And', 'he', 'called', 'this', 'woman', 'Pandora', '1302', ',', 'because', 'all', 'they', 'who', 'dwelt', 'on', 'Olympus', 'gave', 'each', 'a', 'gift', ',', 'a', 'plague', 'to', 'men', 'who', 'eat', 'bread', '.']","['and', 'he', 'called', 'this', 'woman', 'pandora', '1302', ',', 'because', 'all', 'they', 'who', 'dwelt', 'on', 'olympus', 'gave', 'each', 'a', 'gift', ',', 'a', 'plague', 'to', 'men', 'who', 'eat', 'bread', '.']","['and', 'he', 'called', 'this', 'woman', 'pandora', '1302', 'because', 'all', 'they', 'who', 'dwelt', 'on', 'olympus', 'gave', 'each', 'a', 'gift', 'a', 'plague', 'to', 'men', 'who', 'eat', 'bread']","['called', 'woman', 'pandora', '1302', 'dwelt', 'olympus', 'gave', 'gift', 'plague', 'men', 'eat', 'bread']","[('called', 'VBN'), ('woman', 'NN'), ('pandora', 'NN'), ('1302', 'CD'), ('dwelt', 'NN'), ('olympus', 'NN'), ('gave', 'VBD'), ('gift', 'NN'), ('plague', 'NN'), ('men', 'NNS'), ('eat', 'VBP'), ('bread', 'NN')]"
40,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
41,"83-89) But when he had finished the sheer, hopeless snare, the
Father sent glorious Argos-Slayer, the swift messenger of the gods, to
take it to Epimetheus as a gift.",166,"['83-89', ')', 'But', 'when', 'he', 'had', 'finished', 'the', 'sheer', ',', 'hopeless', 'snare', ',', 'the', 'Father', 'sent', 'glorious', 'Argos-Slayer', ',', 'the', 'swift', 'messenger', 'of', 'the', 'gods', ',', 'to', 'take', 'it', 'to', 'Epimetheus', 'as', 'a', 'gift', '.']","['83-89', ')', 'but', 'when', 'he', 'had', 'finished', 'the', 'sheer', ',', 'hopeless', 'snare', ',', 'the', 'father', 'sent', 'glorious', 'argos-slayer', ',', 'the', 'swift', 'messenger', 'of', 'the', 'gods', ',', 'to', 'take', 'it', 'to', 'epimetheus', 'as', 'a', 'gift', '.']","['83-89', 'but', 'when', 'he', 'had', 'finished', 'the', 'sheer', 'hopeless', 'snare', 'the', 'father', 'sent', 'glorious', 'argos-slayer', 'the', 'swift', 'messenger', 'of', 'the', 'gods', 'to', 'take', 'it', 'to', 'epimetheus', 'as', 'a', 'gift']","['83-89', 'finished', 'sheer', 'hopeless', 'snare', 'father', 'sent', 'glorious', 'argos-slayer', 'swift', 'messenger', 'gods', 'take', 'epimetheus', 'gift']","[('83-89', 'CD'), ('finished', 'JJ'), ('sheer', 'NN'), ('hopeless', 'NN'), ('snare', 'NN'), ('father', 'RBR'), ('sent', 'VBD'), ('glorious', 'JJ'), ('argos-slayer', 'JJ'), ('swift', 'NN'), ('messenger', 'NN'), ('gods', 'NNS'), ('take', 'VBP'), ('epimetheus', 'JJ'), ('gift', 'NN')]"
42,"And Epimetheus did not think on what
Prometheus had said to him, bidding him never take a gift of Olympian
Zeus, but to send it back for fear it might prove to be something
harmful to men.",188,"['And', 'Epimetheus', 'did', 'not', 'think', 'on', 'what', 'Prometheus', 'had', 'said', 'to', 'him', ',', 'bidding', 'him', 'never', 'take', 'a', 'gift', 'of', 'Olympian', 'Zeus', ',', 'but', 'to', 'send', 'it', 'back', 'for', 'fear', 'it', 'might', 'prove', 'to', 'be', 'something', 'harmful', 'to', 'men', '.']","['and', 'epimetheus', 'did', 'not', 'think', 'on', 'what', 'prometheus', 'had', 'said', 'to', 'him', ',', 'bidding', 'him', 'never', 'take', 'a', 'gift', 'of', 'olympian', 'zeus', ',', 'but', 'to', 'send', 'it', 'back', 'for', 'fear', 'it', 'might', 'prove', 'to', 'be', 'something', 'harmful', 'to', 'men', '.']","['and', 'epimetheus', 'did', 'not', 'think', 'on', 'what', 'prometheus', 'had', 'said', 'to', 'him', 'bidding', 'him', 'never', 'take', 'a', 'gift', 'of', 'olympian', 'zeus', 'but', 'to', 'send', 'it', 'back', 'for', 'fear', 'it', 'might', 'prove', 'to', 'be', 'something', 'harmful', 'to', 'men']","['epimetheus', 'think', 'prometheus', 'said', 'bidding', 'never', 'take', 'gift', 'olympian', 'zeus', 'send', 'back', 'fear', 'might', 'prove', 'something', 'harmful', 'men']","[('epimetheus', 'NN'), ('think', 'VBP'), ('prometheus', 'NN'), ('said', 'VBD'), ('bidding', 'NN'), ('never', 'RB'), ('take', 'VBP'), ('gift', 'NN'), ('olympian', 'JJ'), ('zeus', 'NN'), ('send', 'VB'), ('back', 'RB'), ('fear', 'NN'), ('might', 'MD'), ('prove', 'VB'), ('something', 'NN'), ('harmful', 'JJ'), ('men', 'NNS')]"
43,"But he took the gift, and afterwards, when the evil
thing was already his, he understood.",89,"['But', 'he', 'took', 'the', 'gift', ',', 'and', 'afterwards', ',', 'when', 'the', 'evil', 'thing', 'was', 'already', 'his', ',', 'he', 'understood', '.']","['but', 'he', 'took', 'the', 'gift', ',', 'and', 'afterwards', ',', 'when', 'the', 'evil', 'thing', 'was', 'already', 'his', ',', 'he', 'understood', '.']","['but', 'he', 'took', 'the', 'gift', 'and', 'afterwards', 'when', 'the', 'evil', 'thing', 'was', 'already', 'his', 'he', 'understood']","['took', 'gift', 'afterwards', 'evil', 'thing', 'already', 'understood']","[('took', 'VBD'), ('gift', 'NN'), ('afterwards', 'NNS'), ('evil', 'JJ'), ('thing', 'NN'), ('already', 'RB'), ('understood', 'JJ')]"
44,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
45,"90-105) For ere this the tribes of men lived on earth remote and
free from ills and hard toil and heavy sickness which bring the Fates
upon men; for in misery men grow old quickly.",180,"['90-105', ')', 'For', 'ere', 'this', 'the', 'tribes', 'of', 'men', 'lived', 'on', 'earth', 'remote', 'and', 'free', 'from', 'ills', 'and', 'hard', 'toil', 'and', 'heavy', 'sickness', 'which', 'bring', 'the', 'Fates', 'upon', 'men', ';', 'for', 'in', 'misery', 'men', 'grow', 'old', 'quickly', '.']","['90-105', ')', 'for', 'ere', 'this', 'the', 'tribes', 'of', 'men', 'lived', 'on', 'earth', 'remote', 'and', 'free', 'from', 'ills', 'and', 'hard', 'toil', 'and', 'heavy', 'sickness', 'which', 'bring', 'the', 'fates', 'upon', 'men', ';', 'for', 'in', 'misery', 'men', 'grow', 'old', 'quickly', '.']","['90-105', 'for', 'ere', 'this', 'the', 'tribes', 'of', 'men', 'lived', 'on', 'earth', 'remote', 'and', 'free', 'from', 'ills', 'and', 'hard', 'toil', 'and', 'heavy', 'sickness', 'which', 'bring', 'the', 'fates', 'upon', 'men', 'for', 'in', 'misery', 'men', 'grow', 'old', 'quickly']","['90-105', 'ere', 'tribes', 'men', 'lived', 'earth', 'remote', 'free', 'ills', 'hard', 'toil', 'heavy', 'sickness', 'bring', 'fates', 'upon', 'men', 'misery', 'men', 'grow', 'old', 'quickly']","[('90-105', 'CD'), ('ere', 'JJ'), ('tribes', 'NNS'), ('men', 'NNS'), ('lived', 'VBD'), ('earth', 'JJ'), ('remote', 'JJ'), ('free', 'JJ'), ('ills', 'NNS'), ('hard', 'JJ'), ('toil', 'NN'), ('heavy', 'JJ'), ('sickness', 'NN'), ('bring', 'NN'), ('fates', 'VBZ'), ('upon', 'IN'), ('men', 'NNS'), ('misery', 'VBP'), ('men', 'NNS'), ('grow', 'VB'), ('old', 'JJ'), ('quickly', 'RB')]"
